onXCastTipsEvent : ["tips":"Send: 168kbps @ 102pkt @ 0.00% 0..."] 
onXCastTipsEvent : ["tips":"Send: 166kbps @ 102pkt @ 0.00% 0..."] 
onXCastTipsEvent : ["tips":"Send: 166kbps @ 100pkt @ 0.00% 0..."] 
onXCastTipsEvent : ["tips":"Send: 164kbps @ 101pkt @ 0.00% 0..."] 
onXCastTipsEvent : ["tips":"Send: 164kbps @ 100pkt @ 0.00% 0..."] 
onXCastTipsEvent : ["tips":"Send: 166kbps @ 102pkt @ 0.00% 0..."] 
onXCastTipsEvent : ["tips":"Send: 167kbps @ 102pkt @ 0.00% 0..."] 
onXCastTipsEvent : ["tips":"Send: 168kbps @ 101pkt @ 0.00% 0..."] 
onXCastTipsEvent : ["tips":"Send: 173kbps @ 100pkt @ 0.00% 0..."] 
onXCastTipsEvent : ["tips":"Send: 176kbps @ 100pkt @ 0.00% 0..."] 
onXCastTipsEvent : ["tips":"Send: 169kbps @ 102pkt @ 0.00% 0..."] 
onXCastTipsEvent : ["tips":"Send: 163kbps @ 100pkt @ 0.00% 0..."] 
onXCastTipsEvent : ["tips":"Send: 163kbps @ 100pkt @ 0.00% 0..."] 
onXCastTipsEvent : ["tips":"Send: 185kbps @ 102pkt @ 0.00% 0..."] 
onXCastTipsEvent : ["tips":"Send: 174kbps @ 101pkt @ 0.00% 0..."] 
onXCastTipsEvent : ["tips":"Send: 167kbps @ 102pkt @ 0.00% 0..."] 
onXCastTipsEvent : ["tips":"Send: 168kbps @ 100pkt @ 0.00% 0..."] 
onXCastTipsEvent : ["tips":"Send: 167kbps @ 102pkt @ 0.00% 0..."] 
